"DateAware","DateSubmitted","DataBreachCause","DateStart","DateEnd","Name","Id","CyberattackType","WashingtoniansAffected","IndustryType","BusinessType","Year","YearText","WashingtoniansAffectedRange","BreachLifecycleRange","DaysToContainBreach","DaysToIdentifyBreach","DaysBreachLifecycle","DiscoveredInProgress","DaysOfExposure","DaysElapsedBetweenEndAndDiscovery","EndedOnDayDiscovered","DaysElapsedBeforeNotification","DaysOfExposureRange","EntityState"
"2022 Aug 11 12:00:00 AM","2022 Sep 06 12:00:00 AM","Unauthorized Access","2022 Jul 26 12:00:00 AM","2022 Aug 20 12:00:00 AM","Vans (VF Outdoor, LLC)","13,841",,"1,460","Business","Retail","2,023","2023","1,000-9,999","1-99","9","16","25","true","25",,"false","26","1-99",
"2023 Apr 26 12:00:00 AM","2023 May 26 12:00:00 AM","Cyberattack","2023 Feb 01 12:00:00 AM","2023 Feb 04 12:00:00 AM","Capital One","15,171","Ransomware","605","Finance",,"2,023","2023","500-999","1-99","0","84","84","false","3","81","false","30","1-99","VA"
"2023 Apr 18 12:00:00 AM","2023 May 25 12:00:00 AM","Unauthorized Access","2023 Apr 18 12:00:00 AM","2023 Apr 18 12:00:00 AM","European Wax Center, Inc. ","15,170",,"1,592","Business","Cosmetic","2,023","2023","1,000-9,999","0","0","0","0","true","0",,"true","37","0","TX"
"2023 Apr 22 12:00:00 AM","2023 May 23 12:00:00 AM","Cyberattack","2023 Apr 21 12:00:00 AM",,"Heavy Hammer, Inc.","15,164","Ransomware","563","Business","Real Estate","2,023","2023","500-999","Unknown",,"1",,"false",,,"false","31","Unknown","MD"
"2023 Mar 25 12:00:00 AM","2023 May 24 12:00:00 AM","Cyberattack","2023 Mar 15 12:00:00 AM","2023 Mar 25 12:00:00 AM","SLT Lending SPV, Inc.","15,163","Ransomware","1,748","Business","Retail","2,023","2023","1,000-9,999","1-99","0","10","10","true","10",,"true","60","1-99","WA"
"2023 Feb 04 12:00:00 AM","2023 May 22 12:00:00 AM","Cyberattack","2023 Feb 01 12:00:00 AM","2023 Feb 06 12:00:00 AM","NCB Management Services, Inc.","15,162","Ransomware","15,899","Finance",,"2,023","2023","10,000-49,999","1-99","2","3","5","true","5",,"false","107","1-99","PA"
"2021 Sep 01 12:00:00 AM","2023 May 22 12:00:00 AM","Unauthorized Access","2019 Apr 05 12:00:00 AM","2021 Oct 10 12:00:00 AM","Apria Healthcare LLC","15,159",,"69,686","Health",,"2,023","2023","50,000-999,999","500+","39","880","919","true","919",,"false","628","500+","IN"
"2023 Apr 16 12:00:00 AM","2023 May 31 12:00:00 AM","Unauthorized Access","2023 Mar 23 12:00:00 AM",,"Stanford, Munko, & Co. PLLC","15,158",,"3,086","Finance",,"2,023","2023","1,000-9,999","Unknown",,"24",,"false",,,"false","45","Unknown","WA "
"2022 Nov 29 12:00:00 AM","2023 May 30 12:00:00 AM","Unauthorized Access","2022 Nov 29 12:00:00 AM","2022 Nov 29 12:00:00 AM","Over The Top (OTT)","15,156",,"22,723","Business","Other","2,023","2023","10,000-49,999","0","0","0","0","true","0",,"true","182","0","CA"
"2021 Mar 04 12:00:00 AM","2022 Dec 22 12:00:00 AM","Cyberattack",,,"Your Patient Advisor by Captify Health","15,100","Malware","36,364","Business","Retail","2,023","2023","10,000-49,999","Unknown",,,,"false",,,"false","658","Unknown",
"2023 Feb 04 12:00:00 AM","2023 May 16 12:00:00 AM","Unauthorized Access","2023 Jan 29 12:00:00 AM","2023 Jan 31 12:00:00 AM","HumanGood Washington","15,075",,"1,411","Business","Other","2,023","2023","1,000-9,999","1-99","0","6","6","false","2","4","false","101","1-99","CA"
"2023 Mar 05 12:00:00 AM","2023 May 17 12:00:00 AM","Cyberattack","2023 Jan 14 12:00:00 AM","2023 Mar 05 12:00:00 AM","Sysco Corporation","15,073","Other","1,977","Business","Other","2,023","2023","1,000-9,999","1-99","0","50","50","true","50",,"true","73","1-99","TX"
"2023 Mar 30 12:00:00 AM","2023 May 03 12:00:00 AM","Unauthorized Access","2023 Mar 29 12:00:00 AM","2023 Apr 14 12:00:00 AM","NextGen Healthcare, Inc. ","15,056",,"21,981","Health",,"2,023","2023","10,000-49,999","1-99","15","1","16","true","16",,"false","34","1-99","CA"
"2023 Mar 09 12:00:00 AM","2023 May 02 12:00:00 AM","Cyberattack","2023 Feb 22 12:00:00 AM","2023 Mar 09 12:00:00 AM","Carvin Software, LLC","15,031","Malware","9,606","Business","Software","2,023","2023","1,000-9,999","1-99","0","15","15","true","15",,"true","54","1-99","AZ"
"2023 Mar 02 12:00:00 AM","2023 Apr 29 12:00:00 AM","Cyberattack","2023 Feb 20 12:00:00 AM","2023 Feb 20 12:00:00 AM","Cadence Innovations Group","15,030","Malware","541","Business","Software","2,023","2023","500-999","1-99","0","10","10","false","0","10","false","58","0","UT"
"2023 Mar 10 12:00:00 AM","2023 Apr 26 12:00:00 AM","Cyberattack","2023 Mar 09 12:00:00 AM","2023 Mar 10 12:00:00 AM","Carrington Mortgage Services, LLC","15,029","Ransomware","5,032","Finance",,"2,023","2023","1,000-9,999","1-99","0","1","1","true","1",,"true","47","1-99","CA"
"2023 Feb 14 12:00:00 AM","2023 Apr 28 12:00:00 AM","Cyberattack","2023 Feb 11 12:00:00 AM","2023 Feb 14 12:00:00 AM","Pierce County Public Transportation Benefit Area Corporation","15,028","Ransomware","4,813","Government",,"2,023","2023","1,000-9,999","1-99","0","3","3","true","3",,"true","73","1-99","WA"
"2023 Apr 18 12:00:00 AM","2023 Apr 21 12:00:00 AM","Cyberattack","2023 Mar 22 12:00:00 AM","2023 Mar 22 12:00:00 AM","Sno-Isle Regional Library System","15,005","Phishing","531","Government",,"2,023","2023","500-999","1-99","0","27","27","false","0","27","false","3","0","WA"
"2023 Mar 17 12:00:00 AM","2023 Apr 21 12:00:00 AM","Cyberattack","2023 Mar 06 12:00:00 AM","2023 Mar 20 12:00:00 AM","American Bar Association","15,004","Other","27,736","Non-Profit/Charity",,"2,023","2023","10,000-49,999","1-99","3","11","14","true","14",,"false","35","1-99","IL"
"2022 Dec 23 12:00:00 AM","2023 Apr 20 12:00:00 AM","Cyberattack","2022 Dec 22 12:00:00 AM","2022 Dec 24 12:00:00 AM","Albertsons Companies, Inc.","15,002","Ransomware","1,882","Business","Retail","2,023","2023","1,000-9,999","1-99","1","1","2","true","2",,"false","118","1-99","ID"
"2022 Dec 16 12:00:00 AM","2023 Apr 18 12:00:00 AM","Unauthorized Access","2022 Nov 27 12:00:00 AM","2022 Dec 17 12:00:00 AM","Advanced Health Media on behalf of its clients","15,000",,"587","Business","Other","2,023","2023","500-999","1-99","1","19","20","true","20",,"false","123","1-99","PA"
"2023 Feb 13 12:00:00 AM","2023 Apr 14 12:00:00 AM","Unauthorized Access","2020 Sep 10 12:00:00 AM",,"MiniMed Distribution Corp","14,998",,,"Health",,"2,023","2023","Unknown","Unknown",,"886",,"false",,,"false","60","Unknown","CA"
"2023 Mar 20 12:00:00 AM","2023 Apr 14 12:00:00 AM","Cyberattack","2023 Feb 27 12:00:00 AM","2023 Mar 20 12:00:00 AM","Shoreline Community College","14,994","Ransomware","400,000","Education",,"2,023","2023","50,000-999,999","1-99","0","21","21","true","21",,"true","25","1-99","WA"
"2022 Dec 02 12:00:00 AM","2023 Apr 11 12:00:00 AM","Cyberattack","2022 Dec 01 12:00:00 AM","2022 Dec 02 12:00:00 AM","Regal Medical Group, Inc. ","14,989","Ransomware","2,224","Health",,"2,023","2023","1,000-9,999","1-99","0","1","1","true","1",,"true","130","1-99","CA"
"2023 Feb 04 12:00:00 AM","2023 Apr 10 12:00:00 AM","Cyberattack","2023 Jan 30 12:00:00 AM","2023 Jan 30 12:00:00 AM","Brightline, Inc.","14,988","Other","26,333","Health",,"2,023","2023","10,000-49,999","1-99","0","5","5","false","0","5","false","65","0","CA"
"2023 Feb 07 12:00:00 AM","2023 Apr 13 12:00:00 AM","Unauthorized Access","2023 Jan 30 12:00:00 AM",,"Nations Benefit Holdings, LLC","14,954",,"39,020","Finance",,"2,023","2023","10,000-49,999","Unknown",,"8",,"false",,,"false","65","Unknown",
"2022 Dec 10 12:00:00 AM","2023 Apr 07 12:00:00 AM","Cyberattack","2022 Dec 05 12:00:00 AM","2022 Dec 11 12:00:00 AM","90 Degree Benefits, Inc. - Wisconsin","14,953","Ransomware","2,704","Business","Other","2,023","2023","1,000-9,999","1-99","1","5","6","true","6",,"false","118","1-99","WI"
"2023 Jan 13 12:00:00 AM","2023 Apr 07 12:00:00 AM","Cyberattack","2023 Jan 13 12:00:00 AM","2023 Jan 14 12:00:00 AM","Yum! Brands, Inc. ","14,951","Ransomware","1,220","Business","Other","2,023","2023","1,000-9,999","1-99","1","0","1","true","1",,"false","84","1-99","KY"
"2022 Apr 24 12:00:00 AM","2023 Mar 06 12:00:00 AM","Unauthorized Access","2022 Apr 21 12:00:00 AM","2022 May 21 12:00:00 AM","South Whidbey Fire & EMS","14,909",,"582","Government",,"2,023","2023","500-999","1-99","27","3","30","true","30",,"false","316","1-99",
"2022 Oct 31 12:00:00 AM","2023 Feb 28 12:00:00 AM","Unauthorized Access","2022 Oct 25 12:00:00 AM","2022 Oct 31 12:00:00 AM","REC Silicon","14,906",,"647","Business","Manufacturing","2,023","2023","500-999","1-99","0","6","6","true","6",,"true","120","1-99","WA"
